feedback_id,timestamp,channel,content,sentiment_score,sentiment_label,topic_cluster,confidence,priority_score
FB_00022,2024-05-05T23:00:00.000Z,survey,"Processed feedback content 22",0.738,positive,7,0.828,0.701
FB_00023,2024-04-02T23:00:00.000Z,chat,"Processed feedback content 23",0.043,negative,5,0.966,0.581
FB_00024,2024-07-20T23:00:00.000Z,survey,"Processed feedback content 24",0.259,negative,9,0.762,0.997
FB_00025,2024-06-25T23:00:00.000Z,email,"Processed feedback content 25",0.573,neutral,11,0.896,0.685
FB_00026,2024-06-26T23:00:00.000Z,in_app,"Processed feedback content 26",0.654,positive,7,0.787,0.980
FB_00027,2024-01-10T00:00:00.000Z,support_ticket,"Processed feedback content 27",0.586,neutral,6,0.884,0.568
FB_00028,2024-01-09T00:00:00.000Z,in_app,"Processed feedback content 28",0.300,negative,12,0.837,0.512
FB_00029,2024-06-18T23:00:00.000Z,phone,"Processed feedback content 29",0.227,negative,12,0.716,0.772
FB_00030,2024-02-13T00:00:00.000Z,social_media,"Processed feedback content 30",0.126,negative,11,0.832,0.697
FB_00031,2024-01-02T00:00:00.000Z,in_app,"Processed feedback content 31",0.459,neutral,10,0.857,0.759
FB_00032,2024-01-20T00:00:00.000Z,social_media,"Processed feedback content 32",0.715,positive,4,0.962,0.674
FB_00033,2024-10-26T23:00:00.000Z,in_app,"Processed feedback content 33",0.646,positive,8,0.870,0.691
FB_00034,2024-12-05T00:00:00.000Z,chat,"Processed feedback content 34",0.832,positive,5,0.936,0.917
FB_00035,2024-04-06T23:00:00.000Z,support_ticket,"Processed feedback content 35",0.331,negative,5,0.702,0.675
FB_00036,2024-11-16T00:00:00.000Z,phone,"Processed feedback content 36",0.378,negative,6,0.784,0.727
FB_00037,2024-08-08T23:00:00.000Z,social_media,"Processed feedback content 37",0.727,positive,9,0.783,0.635
FB_00038,2024-06-09T23:00:00.000Z,survey,"Processed feedback content 38",0.209,negative,8,0.776,0.587
FB_00039,2024-05-04T23:00:00.000Z,email,"Processed feedback content 39",0.155,negative,3,0.958,0.972
FB_00040,2024-02-22T00:00:00.000Z,survey,"Processed feedback content 40",0.523,neutral,1,0.909,0.606
FB_00041,2024-02-15T00:00:00.000Z,in_app,"Processed feedback content 41",0.068,negative,2,0.847,0.882
FB_00042,2024-07-24T23:00:00.000Z,chat,"Processed feedback content 42",0.383,negative,10,0.926,0.979
FB_00043,2024-02-12T00:00:00.000Z,chat,"Processed feedback content 43",0.042,negative,5,0.737,0.998
FB_00044,2024-10-14T23:00:00.000Z,chat,"Processed feedback content 44",0.770,positive,7,0.886,0.927
FB_00045,2024-01-17T00:00:00.000Z,survey,"Processed feedback content 45",0.845,positive,1,0.785,0.784
FB_00046,2024-05-02T23:00:00.000Z,survey,"Processed feedback content 46",0.308,negative,4,0.923,0.540
FB_00047,2024-06-16T23:00:00.000Z,survey,"Processed feedback content 47",0.678,positive,10,0.938,0.839
FB_00048,2024-07-14T23:00:00.000Z,social_media,"Processed feedback content 48",0.057,negative,5,0.767,0.903
FB_00049,2024-06-04T23:00:00.000Z,support_ticket,"Processed feedback content 49",0.470,neutral,2,0.852,0.834
FB_00050,2024-11-03T00:00:00.000Z,email,"Processed feedback content 50",0.803,positive,7,0.841,0.521
FB_00051,2024-03-10T00:00:00.000Z,social_media,"Processed feedback content 51",0.201,negative,4,0.721,0.787
FB_00052,2024-06-22T23:00:00.000Z,support_ticket,"Processed feedback content 52",0.971,positive,10,0.865,0.977
FB_00053,2024-06-01T23:00:00.000Z,chat,"Processed feedback content 53",0.760,positive,6,0.949,0.959
FB_00054,2024-03-04T00:00:00.000Z,in_app,"Processed feedback content 54",0.330,negative,3,0.919,0.893
FB_00055,2024-01-06T00:00:00.000Z,support_ticket,"Processed feedback content 55",0.422,neutral,5,0.887,0.634
FB_00056,2024-12-18T00:00:00.000Z,support_ticket,"Processed feedback content 56",0.269,negative,8,0.830,0.622
FB_00057,2024-03-07T00:00:00.000Z,chat,"Processed feedback content 57",0.330,negative,5,0.841,0.546
FB_00058,2024-09-19T23:00:00.000Z,chat,"Processed feedback content 58",0.993,positive,9,0.717,0.540
FB_00059,2024-08-23T23:00:00.000Z,phone,"Processed feedback content 59",0.867,positive,11,0.757,0.855
FB_00060,2024-10-05T23:00:00.000Z,survey,"Processed feedback content 60",0.169,negative,11,0.913,0.924
FB_00061,2024-11-07T00:00:00.000Z,support_ticket,"Processed feedback content 61",0.469,neutral,11,0.755,0.752
FB_00062,2024-12-01T00:00:00.000Z,chat,"Processed feedback content 62",0.613,positive,8,0.935,0.546
FB_00063,2024-01-06T00:00:00.000Z,survey,"Processed feedback content 63",0.658,positive,11,0.798,0.928
FB_00064,2024-01-21T00:00:00.000Z,email,"Processed feedback content 64",0.357,negative,1,0.788,0.926
FB_00065,2024-01-28T00:00:00.000Z,in_app,"Processed feedback content 65",0.607,positive,2,0.703,0.591
FB_00066,2024-10-16T23:00:00.000Z,support_ticket,"Processed feedback content 66",0.230,negative,2,0.879,0.745
FB_00067,2024-08-26T23:00:00.000Z,in_app,"Processed feedback content 67",0.033,negative,2,0.732,0.784
FB_00068,2024-03-02T00:00:00.000Z,social_media,"Processed feedback content 68",0.940,positive,4,0.806,0.946
FB_00069,2024-01-24T00:00:00.000Z,social_media,"Processed feedback content 69",0.074,negative,5,0.769,0.933
FB_00070,2024-11-08T00:00:00.000Z,survey,"Processed feedback content 70",0.512,neutral,11,0.904,0.715
FB_00071,2024-01-21T00:00:00.000Z,support_ticket,"Processed feedback content 71",0.173,negative,7,0.772,0.735
FB_00072,2024-06-05T23:00:00.000Z,social_media,"Processed feedback content 72",0.779,positive,10,0.916,0.601
FB_00073,2024-05-26T23:00:00.000Z,phone,"Processed feedback content 73",0.480,neutral,12,0.930,0.584
FB_00074,2024-01-14T00:00:00.000Z,social_media,"Processed feedback content 74",0.856,positive,3,0.998,0.570
FB_00075,2024-08-03T23:00:00.000Z,phone,"Processed feedback content 75",0.001,negative,8,0.944,0.996
FB_00076,2024-06-16T23:00:00.000Z,email,"Processed feedback content 76",0.499,neutral,9,0.812,0.573
FB_00077,2024-02-10T00:00:00.000Z,chat,"Processed feedback content 77",0.329,negative,4,0.703,0.788
FB_00078,2024-02-07T00:00:00.000Z,support_ticket,"Processed feedback content 78",0.459,neutral,1,0.886,0.522
FB_00079,2024-05-01T23:00:00.000Z,chat,"Processed feedback content 79",0.773,positive,9,0.884,0.886
FB_00080,2024-07-10T23:00:00.000Z,chat,"Processed feedback content 80",0.498,neutral,10,0.964,0.897
FB_00081,2024-12-21T00:00:00.000Z,phone,"Processed feedback content 81",0.317,negative,9,0.897,0.599
FB_00082,2024-12-28T00:00:00.000Z,support_ticket,"Processed feedback content 82",0.173,negative,7,0.768,0.765
FB_00083,2024-06-12T23:00:00.000Z,survey,"Processed feedback content 83",0.524,neutral,2,0.869,0.659
FB_00084,2024-04-06T23:00:00.000Z,phone,"Processed feedback content 84",0.142,negative,9,0.862,0.855
FB_00085,2024-03-24T00:00:00.000Z,email,"Processed feedback content 85",0.388,negative,8,0.957,0.945
FB_00086,2024-09-21T23:00:00.000Z,phone,"Processed feedback content 86",0.857,positive,1,0.832,0.638
FB_00087,2024-09-15T23:00:00.000Z,social_media,"Processed feedback content 87",0.491,neutral,3,0.891,0.596
FB_00088,2024-09-20T23:00:00.000Z,survey,"Processed feedback content 88",0.727,positive,7,0.767,0.806
FB_00089,2024-03-21T00:00:00.000Z,phone,"Processed feedback content 89",0.994,positive,3,0.891,0.583
FB_00090,2024-04-17T23:00:00.000Z,survey,"Processed feedback content 90",0.299,negative,3,0.992,0.833
FB_00091,2024-11-24T00:00:00.000Z,social_media,"Processed feedback content 91",0.221,negative,2,0.942,0.514
FB_00092,2024-08-09T23:00:00.000Z,in_app,"Processed feedback content 92",0.007,negative,9,0.965,0.575
FB_00093,2024-09-10T23:00:00.000Z,survey,"Processed feedback content 93",0.310,negative,12,0.877,0.672
FB_00094,2024-10-15T23:00:00.000Z,phone,"Processed feedback content 94",0.651,positive,12,0.938,0.822
FB_00095,2024-05-22T23:00:00.000Z,chat,"Processed feedback content 95",0.901,positive,7,0.708,0.811
FB_00096,2024-02-06T00:00:00.000Z,survey,"Processed feedback content 96",0.757,positive,5,0.714,0.936
FB_00097,2024-11-07T00:00:00.000Z,survey,"Processed feedback content 97",0.119,negative,8,0.854,0.827
FB_00098,2024-07-27T23:00:00.000Z,social_media,"Processed feedback content 98",0.185,negative,2,0.896,0.855
FB_00099,2024-11-02T00:00:00.000Z,social_media,"Processed feedback content 99",0.370,negative,6,0.719,0.674
FB_00100,2024-11-01T00:00:00.000Z,phone,"Processed feedback content 100",0.811,positive,5,0.951,0.861
FB_00101,2024-08-02T23:00:00.000Z,social_media,"Processed feedback content 101",0.098,negative,3,0.927,0.735
FB_00102,2024-06-03T23:00:00.000Z,in_app,"Processed feedback content 102",0.713,positive,2,0.887,0.777
FB_00103,2024-09-01T23:00:00.000Z,chat,"Processed feedback content 103",0.053,negative,11,0.982,0.693
FB_00104,2024-06-04T23:00:00.000Z,social_media,"Processed feedback content 104",0.666,positive,3,0.994,0.875
FB_00105,2024-05-16T23:00:00.000Z,phone,"Processed feedback content 105",0.427,neutral,11,0.914,0.934
FB_00106,2024-10-21T23:00:00.000Z,survey,"Processed feedback content 106",0.276,negative,2,0.719,0.604
FB_00107,2024-11-14T00:00:00.000Z,survey,"Processed feedback content 107",0.243,negative,6,0.745,0.561
FB_00108,2024-05-21T23:00:00.000Z,email,"Processed feedback content 108",0.355,negative,11,0.934,0.579
FB_00109,2024-05-10T23:00:00.000Z,survey,"Processed feedback content 109",0.746,positive,4,0.752,0.778
FB_00110,2024-05-08T23:00:00.000Z,email,"Processed feedback content 110",0.409,neutral,7,0.703,0.560
FB_00111,2024-08-14T23:00:00.000Z,email,"Processed feedback content 111",0.633,positive,8,0.916,0.675
FB_00112,2024-10-13T23:00:00.000Z,email,"Processed feedback content 112",0.928,positive,8,0.712,0.842
FB_00113,2024-09-14T23:00:00.000Z,social_media,"Processed feedback content 113",0.301,negative,3,0.917,0.997
FB_00114,2024-06-24T23:00:00.000Z,social_media,"Processed feedback content 114",0.263,negative,9,0.808,0.841
FB_00115,2024-03-10T00:00:00.000Z,chat,"Processed feedback content 115",0.048,negative,5,0.792,0.854
FB_00116,2024-02-04T00:00:00.000Z,survey,"Processed feedback content 116",0.816,positive,2,0.966,0.607
FB_00117,2024-07-13T23:00:00.000Z,support_ticket,"Processed feedback content 117",0.803,positive,12,0.804,0.617
FB_00118,2024-10-10T23:00:00.000Z,social_media,"Processed feedback content 118",0.144,negative,11,0.841,0.789
FB_00119,2024-12-24T00:00:00.000Z,support_ticket,"Processed feedback content 119",0.670,positive,11,0.710,0.568
FB_00120,2024-03-15T00:00:00.000Z,support_ticket,"Processed feedback content 120",0.036,negative,2,0.954,0.836
FB_00121,2024-03-03T00:00:00.000Z,phone,"Processed feedback content 121",0.385,negative,4,0.979,0.873
FB_00122,2024-09-12T23:00:00.000Z,in_app,"Processed feedback content 122",0.700,positive,1,0.975,0.713
FB_00123,2024-11-19T00:00:00.000Z,survey,"Processed feedback content 123",0.944,positive,7,0.788,0.584
FB_00124,2024-09-21T23:00:00.000Z,support_ticket,"Processed feedback content 124",0.368,negative,2,0.957,0.678
FB_00125,2024-08-06T23:00:00.000Z,support_ticket,"Processed feedback content 125",0.582,neutral,5,0.743,0.601
FB_00126,2024-10-22T23:00:00.000Z,social_media,"Processed feedback content 126",0.511,neutral,11,0.759,0.622
FB_00127,2024-08-17T23:00:00.000Z,social_media,"Processed feedback content 127",0.613,positive,3,0.876,0.585
FB_00128,2024-01-09T00:00:00.000Z,social_media,"Processed feedback content 128",0.922,positive,8,0.967,0.972
FB_00129,2024-12-21T00:00:00.000Z,social_media,"Processed feedback content 129",0.316,negative,10,0.733,0.526
FB_00130,2024-01-18T00:00:00.000Z,survey,"Processed feedback content 130",0.495,neutral,1,0.806,0.802
FB_00131,2024-11-11T00:00:00.000Z,phone,"Processed feedback content 131",0.675,positive,10,0.713,0.966
FB_00132,2024-11-11T00:00:00.000Z,survey,"Processed feedback content 132",0.835,positive,11,0.930,0.686
FB_00133,2024-01-25T00:00:00.000Z,email,"Processed feedback content 133",0.527,neutral,4,0.749,0.806
FB_00134,2024-05-14T23:00:00.000Z,in_app,"Processed feedback content 134",0.081,negative,1,0.769,0.854
FB_00135,2024-07-11T23:00:00.000Z,phone,"Processed feedback content 135",0.273,negative,8,0.933,0.631
FB_00136,2024-04-26T23:00:00.000Z,phone,"Processed feedback content 136",0.086,negative,9,0.950,0.522
FB_00137,2024-03-01T00:00:00.000Z,support_ticket,"Processed feedback content 137",0.078,negative,11,0.770,0.783
FB_00138,2024-03-16T00:00:00.000Z,chat,"Processed feedback content 138",0.415,neutral,11,0.863,0.684
FB_00139,2024-01-25T00:00:00.000Z,phone,"Processed feedback content 139",0.755,positive,5,0.763,0.549
FB_00140,2024-11-04T00:00:00.000Z,in_app,"Processed feedback content 140",0.643,positive,3,0.854,0.704
FB_00141,2024-10-04T23:00:00.000Z,phone,"Processed feedback content 141",0.981,positive,11,0.911,0.797
FB_00142,2024-09-25T23:00:00.000Z,chat,"Processed feedback content 142",0.686,positive,10,0.727,0.842
FB_00143,2024-09-26T23:00:00.000Z,social_media,"Processed feedback content 143",0.755,positive,4,0.775,0.898
FB_00144,2024-06-16T23:00:00.000Z,in_app,"Processed feedback content 144",0.033,negative,10,0.752,0.750
FB_00145,2024-07-07T23:00:00.000Z,in_app,"Processed feedback content 145",0.383,negative,6,0.898,0.771
FB_00146,2024-11-24T00:00:00.000Z,chat,"Processed feedback content 146",0.821,positive,2,0.934,0.939
FB_00147,2024-09-13T23:00:00.000Z,survey,"Processed feedback content 147",0.292,negative,11,0.861,0.578
FB_00148,2024-07-23T23:00:00.000Z,survey,"Processed feedback content 148",0.448,neutral,6,0.933,0.894
FB_00149,2024-08-22T23:00:00.000Z,chat,"Processed feedback content 149",0.777,positive,8,0.932,0.693
FB_00150,2024-08-26T23:00:00.000Z,chat,"Processed feedback content 150",0.066,negative,8,0.759,0.540
FB_00151,2024-05-22T23:00:00.000Z,survey,"Processed feedback content 151",0.504,neutral,8,0.737,0.602
FB_00152,2024-02-08T00:00:00.000Z,phone,"Processed feedback content 152",0.920,positive,8,0.835,0.876
FB_00153,2024-07-16T23:00:00.000Z,social_media,"Processed feedback content 153",0.498,neutral,8,0.882,0.639
FB_00154,2024-05-22T23:00:00.000Z,phone,"Processed feedback content 154",0.670,positive,11,0.824,0.725
FB_00155,2024-12-22T00:00:00.000Z,phone,"Processed feedback content 155",0.057,negative,12,0.966,0.815
FB_00156,2024-07-21T23:00:00.000Z,survey,"Processed feedback content 156",0.867,positive,1,0.951,0.955
FB_00157,2024-06-02T23:00:00.000Z,email,"Processed feedback content 157",0.059,negative,7,0.794,0.772
FB_00158,2024-02-21T00:00:00.000Z,social_media,"Processed feedback content 158",0.602,positive,5,0.985,0.968
FB_00159,2024-10-24T23:00:00.000Z,in_app,"Processed feedback content 159",0.254,negative,9,0.893,0.717
FB_00160,2024-02-19T00:00:00.000Z,chat,"Processed feedback content 160",0.589,neutral,4,0.813,0.718
FB_00161,2024-12-01T00:00:00.000Z,chat,"Processed feedback content 161",0.619,positive,1,0.902,0.862
FB_00162,2024-02-22T00:00:00.000Z,social_media,"Processed feedback content 162",0.909,positive,7,0.891,0.659
FB_00163,2024-01-09T00:00:00.000Z,chat,"Processed feedback content 163",0.896,positive,7,0.903,0.512
FB_00164,2024-07-07T23:00:00.000Z,phone,"Processed feedback content 164",0.600,positive,11,0.838,0.636
FB_00165,2024-03-28T00:00:00.000Z,email,"Processed feedback content 165",0.300,negative,1,0.717,0.709
FB_00166,2024-12-02T00:00:00.000Z,email,"Processed feedback content 166",0.132,negative,4,0.925,0.948
FB_00167,2024-11-01T00:00:00.000Z,survey,"Processed feedback content 167",0.229,negative,4,0.853,0.876
FB_00168,2024-11-12T00:00:00.000Z,survey,"Processed feedback content 168",0.573,neutral,5,0.760,0.598
FB_00169,2024-09-13T23:00:00.000Z,email,"Processed feedback content 169",0.826,positive,8,0.809,0.663
FB_00170,2024-04-22T23:00:00.000Z,social_media,"Processed feedback content 170",0.160,negative,1,0.855,0.798
FB_00171,2024-11-11T00:00:00.000Z,social_media,"Processed feedback content 171",0.856,positive,12,0.861,0.690
FB_00172,2024-07-14T23:00:00.000Z,in_app,"Processed feedback content 172",0.048,negative,12,0.829,0.662
FB_00173,2024-07-23T23:00:00.000Z,phone,"Processed feedback content 173",0.015,negative,5,0.910,0.919
FB_00174,2024-12-17T00:00:00.000Z,social_media,"Processed feedback content 174",0.719,positive,4,0.891,0.519
FB_00175,2024-02-12T00:00:00.000Z,phone,"Processed feedback content 175",0.946,positive,4,0.968,0.994
FB_00176,2024-02-05T00:00:00.000Z,survey,"Processed feedback content 176",0.121,negative,2,0.934,0.865
FB_00177,2024-11-24T00:00:00.000Z,phone,"Processed feedback content 177",0.131,negative,7,0.969,0.876
FB_00178,2024-05-04T23:00:00.000Z,support_ticket,"Processed feedback content 178",0.461,neutral,3,0.889,0.603
FB_00179,2024-09-18T23:00:00.000Z,in_app,"Processed feedback content 179",0.338,negative,10,0.755,0.975
FB_00180,2024-08-05T23:00:00.000Z,email,"Processed feedback content 180",0.183,negative,10,0.829,0.575
FB_00181,2024-08-13T23:00:00.000Z,support_ticket,"Processed feedback content 181",0.624,positive,12,0.762,0.832
FB_00182,2024-05-22T23:00:00.000Z,support_ticket,"Processed feedback content 182",0.076,negative,2,0.858,0.880
FB_00183,2024-11-01T00:00:00.000Z,email,"Processed feedback content 183",0.589,neutral,12,0.867,0.784
FB_00184,2024-05-26T23:00:00.000Z,phone,"Processed feedback content 184",0.141,negative,10,0.916,0.946
FB_00185,2024-09-05T23:00:00.000Z,in_app,"Processed feedback content 185",0.967,positive,10,0.936,0.614
FB_00186,2024-12-26T00:00:00.000Z,chat,"Processed feedback content 186",0.354,negative,10,0.979,0.919
FB_00187,2024-01-17T00:00:00.000Z,in_app,"Processed feedback content 187",0.572,neutral,12,0.826,0.885
FB_00188,2024-07-17T23:00:00.000Z,email,"Processed feedback content 188",0.324,negative,9,0.895,0.985
FB_00189,2024-11-06T00:00:00.000Z,survey,"Processed feedback content 189",0.864,positive,11,0.847,0.630
FB_00190,2024-04-19T23:00:00.000Z,social_media,"Processed feedback content 190",0.525,neutral,5,0.915,0.675
FB_00191,2024-11-18T00:00:00.000Z,support_ticket,"Processed feedback content 191",0.406,neutral,6,0.805,0.961
FB_00192,2024-01-25T00:00:00.000Z,chat,"Processed feedback content 192",0.098,negative,7,0.834,0.971
FB_00193,2024-12-04T00:00:00.000Z,survey,"Processed feedback content 193",0.012,negative,2,0.898,0.955
FB_00194,2024-01-06T00:00:00.000Z,support_ticket,"Processed feedback content 194",0.533,neutral,2,0.747,0.869
FB_00195,2024-07-11T23:00:00.000Z,phone,"Processed feedback content 195",0.790,positive,10,0.966,0.747
FB_00196,2024-05-12T23:00:00.000Z,survey,"Processed feedback content 196",0.037,negative,10,0.944,0.727
FB_00197,2024-06-04T23:00:00.000Z,phone,"Processed feedback content 197",0.544,neutral,11,0.765,0.962
FB_00198,2024-11-07T00:00:00.000Z,in_app,"Processed feedback content 198",0.644,positive,6,0.796,0.937
FB_00199,2024-08-20T23:00:00.000Z,phone,"Processed feedback content 199",0.134,negative,12,0.762,0.909
FB_00200,2024-04-20T23:00:00.000Z,survey,"Processed feedback content 200",0.493,neutral,3,0.940,0.977
FB_00201,2024-09-05T23:00:00.000Z,email,"Processed feedback content 201",0.392,negative,4,0.819,0.990
FB_00202,2024-06-03T23:00:00.000Z,social_media,"Processed feedback content 202",0.957,positive,10,0.822,0.713
FB_00203,2024-02-17T00:00:00.000Z,social_media,"Processed feedback content 203",0.899,positive,3,0.736,0.653
FB_00204,2024-09-24T23:00:00.000Z,chat,"Processed feedback content 204",0.383,negative,7,0.718,0.815
FB_00205,2024-06-06T23:00:00.000Z,survey,"Processed feedback content 205",0.944,positive,2,0.989,0.991
FB_00206,2024-03-18T00:00:00.000Z,support_ticket,"Processed feedback content 206",0.047,negative,1,0.834,0.505
FB_00207,2024-11-14T00:00:00.000Z,phone,"Processed feedback content 207",0.603,positive,12,0.883,0.526
FB_00208,2024-05-20T23:00:00.000Z,survey,"Processed feedback content 208",0.344,negative,4,0.932,0.509
FB_00209,2024-05-03T23:00:00.000Z,email,"Processed feedback content 209",0.905,positive,4,0.952,0.809
FB_00210,2024-10-01T23:00:00.000Z,social_media,"Processed feedback content 210",0.489,neutral,12,0.979,0.751
FB_00211,2024-09-26T23:00:00.000Z,survey,"Processed feedback content 211",0.774,positive,1,0.915,0.969
FB_00212,2024-09-05T23:00:00.000Z,in_app,"Processed feedback content 212",0.229,negative,2,0.801,0.702
FB_00213,2024-12-18T00:00:00.000Z,survey,"Processed feedback content 213",0.706,positive,2,0.759,0.563
FB_00214,2024-11-16T00:00:00.000Z,support_ticket,"Processed feedback content 214",0.911,positive,10,0.801,0.973
FB_00215,2024-07-22T23:00:00.000Z,email,"Processed feedback content 215",0.551,neutral,3,0.815,0.540
FB_00216,2024-02-03T00:00:00.000Z,support_ticket,"Processed feedback content 216",0.031,negative,9,0.892,0.514
FB_00217,2024-05-17T23:00:00.000Z,support_ticket,"Processed feedback content 217",0.725,positive,9,0.779,0.650
FB_00218,2024-12-25T00:00:00.000Z,survey,"Processed feedback content 218",0.334,negative,9,0.896,0.605
FB_00219,2024-04-12T23:00:00.000Z,support_ticket,"Processed feedback content 219",0.543,neutral,12,0.745,0.660
FB_00220,2024-10-11T23:00:00.000Z,email,"Processed feedback content 220",0.428,neutral,9,0.855,0.813
FB_00221,2024-10-28T00:00:00.000Z,email,"Processed feedback content 221",0.119,negative,1,0.919,0.531
FB_00222,2024-12-04T00:00:00.000Z,support_ticket,"Processed feedback content 222",0.963,positive,12,0.806,0.611
FB_00223,2024-05-23T23:00:00.000Z,chat,"Processed feedback content 223",0.922,positive,11,0.938,0.501
FB_00224,2024-06-15T23:00:00.000Z,in_app,"Processed feedback content 224",0.988,positive,4,0.924,0.635
FB_00225,2024-01-20T00:00:00.000Z,social_media,"Processed feedback content 225",0.141,negative,12,0.802,0.561
FB_00226,2024-03-20T00:00:00.000Z,phone,"Processed feedback content 226",0.169,negative,3,0.836,0.848
FB_00227,2024-05-17T23:00:00.000Z,support_ticket,"Processed feedback content 227",0.160,negative,8,0.706,0.957
FB_00228,2024-12-11T00:00:00.000Z,chat,"Processed feedback content 228",0.312,negative,5,0.726,0.774
FB_00229,2024-06-21T23:00:00.000Z,email,"Processed feedback content 229",0.082,negative,12,0.841,0.772
FB_00230,2024-01-13T00:00:00.000Z,chat,"Processed feedback content 230",0.101,negative,6,0.870,0.857
FB_00231,2024-11-13T00:00:00.000Z,phone,"Processed feedback content 231",0.278,negative,8,0.779,0.856
FB_00232,2024-09-30T23:00:00.000Z,in_app,"Processed feedback content 232",0.677,positive,5,0.884,0.665
FB_00233,2024-10-26T23:00:00.000Z,chat,"Processed feedback content 233",0.531,neutral,7,0.720,0.945
FB_00234,2024-09-18T23:00:00.000Z,social_media,"Processed feedback content 234",0.662,positive,7,0.969,0.628
FB_00235,2024-04-05T23:00:00.000Z,phone,"Processed feedback content 235",0.647,positive,1,0.771,0.723
FB_00236,2024-07-17T23:00:00.000Z,phone,"Processed feedback content 236",0.070,negative,6,0.924,0.504
FB_00237,2024-07-05T23:00:00.000Z,social_media,"Processed feedback content 237",0.747,positive,4,0.818,0.868
FB_00238,2024-10-11T23:00:00.000Z,in_app,"Processed feedback content 238",0.170,negative,2,0.781,0.599
FB_00239,2024-01-13T00:00:00.000Z,email,"Processed feedback content 239",0.341,negative,10,0.758,0.756
FB_00240,2024-10-09T23:00:00.000Z,social_media,"Processed feedback content 240",0.115,negative,6,0.765,0.512
FB_00241,2024-05-27T23:00:00.000Z,support_ticket,"Processed feedback content 241",0.462,neutral,9,0.841,0.566
FB_00242,2024-10-24T23:00:00.000Z,email,"Processed feedback content 242",0.588,neutral,4,0.988,0.963
FB_00243,2024-07-25T23:00:00.000Z,email,"Processed feedback content 243",0.745,positive,3,0.742,0.996
FB_00244,2024-11-10T00:00:00.000Z,chat,"Processed feedback content 244",0.754,positive,12,0.790,0.646
FB_00245,2024-07-17T23:00:00.000Z,email,"Processed feedback content 245",0.636,positive,6,0.812,0.805
FB_00246,2024-05-11T23:00:00.000Z,email,"Processed feedback content 246",0.021,negative,4,0.769,0.787
FB_00247,2024-05-17T23:00:00.000Z,chat,"Processed feedback content 247",0.186,negative,3,0.871,0.978
FB_00248,2024-06-14T23:00:00.000Z,social_media,"Processed feedback content 248",0.862,positive,7,0.841,0.908
FB_00249,2024-03-27T00:00:00.000Z,chat,"Processed feedback content 249",0.473,neutral,8,0.918,0.999
FB_00250,2024-03-19T00:00:00.000Z,email,"Processed feedback content 250",0.974,positive,5,0.777,0.794
FB_00251,2024-04-27T23:00:00.000Z,social_media,"Processed feedback content 251",0.930,positive,12,0.864,0.971
FB_00252,2024-10-23T23:00:00.000Z,email,"Processed feedback content 252",0.648,positive,4,0.809,0.792
FB_00253,2024-01-19T00:00:00.000Z,social_media,"Processed feedback content 253",0.560,neutral,5,0.768,0.790
FB_00254,2024-01-03T00:00:00.000Z,support_ticket,"Processed feedback content 254",0.217,negative,7,0.784,0.701
